1 ===>  1Forge Finance APIs  ===> 1forge finance
497 ===>  Cloud Text-to-Speech API  ===> cloud text-to-speech
498 ===>  Cloud Tool Results API  ===> cloud tool results
499 ===>  Cloud Trace API  ===> cloud trace
500 ===>  Cloud Translation API  ===> cloud translation
501 ===>  Cloud Video Intelligence API  ===> cloud video intelligence
502 ===>  Cloud Vision API  ===> cloud vision
503 ===>  Cnab Online  ===> cnab online
504 ===>  CodeArtifact  ===> codeartifact
505 ===>  CodeScan API  ===> codescan
506 ===>  CognitiveServicesManagementClient  ===> cognitiveservicesmanagementclient
507 ===>  College Football Data  ===> college football data
508 ===>  Commerce API  ===> commerce
509 ===>  CommerceManagementClient  ===> commercemanagementclient
510 ===>  Community API  ===> community
511 ===>  CompanyAPI  ===> companyapi
512 ===>  Compliance API  ===> compliance
513 ===>  Compute Admin Client  ===> compute admin client
514 ===>  Compute Engine API  ===> compute engine
515 ===>  ComputeDiskAdminManagementClient  ===> computediskadminmanagementclient
516 ===>  ComputeManagementClient  ===> computemanagementclient
517 ===>  ComputeManagementConvenienceClient  ===> computemanagementconvenienceclient
518 ===>  Computer Vision  ===> computer vision
519 ===>  Computer Vision Client  ===> computer vision client
520 ===>  ConfigCat Public Management API  ===> configcat public management
521 ===>  ConsumptionManagementClient  ===> consumptionmanagementclient
522 ===>  Container Analysis API  ===> container analysis
523 ===>  ContainerInstanceManagementClient  ===> containerinstancemanagementclient
524 ===>  ContainerRegistryManagementClient  ===> containerregistrymanagementclient
525 ===>  ContainerServiceClient  ===> containerserviceclient
526 ===>  Content API for Shopping  ===> content api for shopping
527 ===>  Content Moderator Client  ===> content moderator client
528 ===>  Contract.fit API  ===> contract.fit
529 ===>  Contribly  ===> contribly
530 ===>  Coronavirus API  ===> coronavirus
531 ===>  Cosmic Ray API - atmospheric radiation doses and intensities using the PARMA model  ===> cosmic ray
532 ===>  Cosmos DB  ===> cosmos db
533 ===>  CostManagementClient  ===> costmanagementclient
534 ===>  Crossbrowsertesting.com Screenshot Comparisons API  ===> crossbrowsertesting.com screenshot comparisons
535 ===>  Crucible  ===> crucible
536 ===>  Custom Image Search Client  ===> custom image search client
537 ===>  Custom Search API  ===> custom search
538 ===>  Custom Search Client  ===> custom search client
539 ===>  Custom Vision Prediction Client  ===> custom vision prediction client
540 ===>  Custom Vision Training Client  ===> custom vision training client
541 ===>  Customer Lockbox  ===> customer lockbox
542 ===>  CustomerInsightsManagementClient  ===> customerinsightsmanagementclient
543 ===>  D7SMS  ===> d7sms
544 ===>  DLx  ===> dlx
545 ===>  DRACOON  ===> dracoon
546 ===>  DaniWeb Connect API  ===> daniweb connect
547 ===>  Data API  ===> data
548 ===>  Data2CRM.API  ===> data2crm.api
549 ===>  DataBoxEdgeManagementClient  ===> databoxedgemanagementclient
550 ===>  DataBoxManagementClient  ===> databoxmanagementclient
551 ===>  DataFactoryManagementClient  ===> datafactorymanagementclient
552 ===>  DataLakeAnalyticsAccountManagementClient  ===> datalakeanalyticsaccountmanagementclient
553 ===>  DataLakeAnalyticsCatalogManagementClient  ===> datalakeanalyticscatalogmanagementclient
554 ===>  DataLakeAnalyticsJobManagementClient  ===> datalakeanalyticsjobmanagementclient
555 ===>  DataLakeStoreAccountManagementClient  ===> datalakestoreaccountmanagementclient
556 ===>  DataLakeStoreFileSystemManagementClient  ===> datalakestorefilesystemmanagementclient
557 ===>  DataShareManagementClient  ===> datasharemanagementclient
558 ===>  Database Threat Detection Policy APIs  ===> database threat detection policy
559 ===>  DatabricksClient  ===> databricksclient
560 ===>  Dataflow API  ===> dataflow
561 ===>  Dataflow Kit Web Scraper  ===> dataflow kit web scraper
562 ===>  Daymet Single Pixel Extraction Tool API  ===> daymet single pixel extraction tool
563 ===>  Deal API  ===> deal
564 ===>  Dealer  ===> dealer
565 ===>  Deed API  ===> deed
566 ===>  DeletedWebApps API Client  ===> deletedwebapps api client
567 ===>  DeploymentAdminClient  ===> deploymentadminclient
568 ===>  DeploymentScriptsClient  ===> deploymentscriptsclient
569 ===>  DevSpacesManagement  ===> devspacesmanagement
570 ===>  DevTestLabsClient  ===> devtestlabsclient
571 ===>  DeviceServices  ===> deviceservices
572 ===>  Diagnostics API Client  ===> diagnostics api client
573 ===>  Dialogflow API  ===> dialogflow
574 ===>  Digital Asset Links API  ===> digital asset links
575 ===>  Discovery Market Research  ===> discovery market research
576 ===>  DiskResourceProviderClient  ===> diskresourceproviderclient
577 ===>  Display & Video 360 API  ===> display & video 360
578 ===>  DnsManagementClient  ===> dnsmanagementclient
579 ===>  Doc Converter  ===> doc converter
580 ===>  Docker Engine  ===> docker engine
581 ===>  DocuSign  ===> docusign
582 ===>  Domain Services Resource Provider  ===> domain services resource provider
583 ===>  DomainRegistrationProvider API Client  ===> domainregistrationprovider api client
584 ===>  Domains API Client  ===> domains api client
585 ===>  Domains RDAP API  ===> domains rdap
586 ===>  DoubleClick Bid Manager API  ===> doubleclick bid manager
587 ===>  Drive API  ===> drive
588 ===>  Drive Activity API  ===> drive activity
589 ===>  DriveBC's Open511 API  ===> drivebc's open511
590 ===>  DropX  ===> dropx
591 ===>  Dynamics Telemetry  ===> dynamics telemetry
592 ===>  EC2 Image Builder  ===> ec2 image builder
593 ===>  EU BON UTIS  ===> eu bon utis
594 ===>  EVE Swagger Interface  ===> eve swagger interface
595 ===>  EVEMarketer Marketstat API  ===> evemarketer marketstat
596 ===>  Early Access  ===> early access
597 ===>  Elastic Load Balancing  ===> elastic load balancing
598 ===>  Engagement.ManagementClient  ===> engagement.managementclient
599 ===>  EngagementFabric  ===> engagementfabric
600 ===>  Enterobase-API  ===> enterobase-api
601 ===>  Enterprise Apps Reseller API  ===> enterprise apps reseller
602 ===>  Entertainment Express API  ===> entertainment express
603 ===>  Entity Search Client  ===> entity search client
604 ===>  Error Reporting API  ===> error reporting
605 ===>  EtMDB REST API v1  ===> etmdb rest api v1
606 ===>  Europeana Search & Record API  ===> europeana search & record
607 ===>  EventGridClient  ===> eventgridclient
608 ===>  EventGridManagementClient  ===> eventgridmanagementclient
609 ===>  EventHub2018PreviewManagementClient  ===> eventhub2018previewmanagementclient
610 ===>  EventHubManagementClient  ===> eventhubmanagementclient
611 ===>  ExaVault  ===> exavault
612 ===>  ExchangeRate-API  ===> exchangerate-api
613 ===>  Execution Service  ===> execution
614 ===>  ExpressRouteCrossConnection REST APIs  ===> expressroutecrossconnection
615 ===>  Extension API  ===> extension
616 ===>  Extpose  ===> extpose
617 ===>  Exude API Service  ===> exude
618 ===>  FORTNITE REST API  ===> fortnite
619 ===>  FaSta - Station Facilities Status  ===> fasta
620 ===>  FabricAdminClient  ===> fabricadminclient
621 ===>  Face Client  ===> face client
622 ===>  Fact Check Tools API  ===> fact check tools
623 ===>  Facts API  ===> facts
624 ===>  Fahrplan-Free  ===> fahrplan-free
625 ===>  Faretrotter Travel API  ===> faretrotter travel
626 ===>  FeatureClient  ===> featureclient
627 ===>  Feed API  ===> feed
628 ===>  Figshare  ===> figshare
629 ===>  Files.com  ===> files.com
630 ===>  FireBrowse Beta API  ===> firebrowse beta
631 ===>  Firebase Cloud Messaging API  ===> firebase cloud messaging
632 ===>  Firebase Dynamic Links API  ===> firebase dynamic links
633 ===>  Firebase Hosting API  ===> firebase hosting
634 ===>  Firebase ML API  ===> firebase ml
635 ===>  Firebase Management API  ===> firebase management
636 ===>  Firebase Rules API  ===> firebase rules
637 ===>  Firewall Management Service  ===> firewall management
638 ===>  FishEye  ===> fisheye
639 ===>  Fisheye Crucible  ===> fisheye crucible
640 ===>  Fitbit Plus API  ===> fitbit plus
641 ===>  Fitness API  ===> fitness
642 ===>  Flat  ===> flat
643 ===>  Flickr API Schema  ===> flickr api schema
644 ===>  Flinkster_API_NG  ===> flinkster_api_ng
645 ===>  Football Prediction API  ===> football prediction
646 ===>  Form Recognizer Client  ===> form recognizer client
647 ===>  FraudLabs Pro Fraud Detection  ===> fraudlabs pro fraud detection
648 ===>  FraudLabs Pro SMS Verification  ===> fraudlabs pro sms verification
649 ===>  Freesound  ===> freesound
650 ===>  FrontDoorManagementClient  ===> frontdoormanagementclient
651 ===>  Fulfillment API  ===> fulfillment
652 ===>  Fulfillment.com APIv2  ===> fulfillment.com apiv2
653 ===>  Fun Generators API  ===> fun generators
654 ===>  FunTranslations API  ===> funtranslations
655 ===>  FunTranslations Braille API  ===> funtranslations braille
656 ===>  Furkot Trips  ===> furkot trips
657 ===>  G Suite Alert Center API  ===> g suite alert center
658 ===>  G Suite Vault API  ===> g suite vault
659 ===>  GOV.UK Pay API  ===> gov.uk pay
660 ===>  GalleryManagementClient  ===> gallerymanagementclient
661 ===>  Game Services API  ===> game
662 ===>  GameSparks Game Details API  ===> gamesparks game details
663 ===>  Gateway REST API  ===> gateway
664 ===>  Geneea Natural Language Processing  ===> geneea natural language processing
665 ===>  Genomics API  ===> genomics
666 ===>  GeoDB Cities API  ===> geodb cities
667 ===>  GeoDataSource Location Search  ===> geodatasource location search
668 ===>  GeoMark Web Service REST API  ===> geomark
669 ===>  Geocoder REST API  ===> geocoder
670 ===>  Geographic API  ===> geographic
671 ===>  Getty Images  ===> getty images
672 ===>  Giphy API  ===> giphy
673 ===>  Gisgraphy webservices  ===> gisgraphy
674 ===>  GitHub v3 REST API  ===> github v3
675 ===>  Gitea API.  ===> gitea
676 ===>  Gitlab  ===> gitlab
677 ===>  Global Magnet API - calculate main components of the geomagnetic field at or near Earth's surface  ===> global magnet
678 ===>  GlobalWineScore API Documentation  ===> globalwinescore api documentation
679 ===>  Gmail API  ===> gmail
680 ===>  Gmail Postmaster Tools API  ===> gmail postmaster tools
681 ===>  GoToMeeting  ===> gotomeeting
682 ===>  GoToTraining  ===> gototraining
683 ===>  GoToWebinar  ===> gotowebinar
684 ===>  Golf v2  ===> golf v2
685 ===>  Google Analytics  ===> google analytics
686 ===>  Google Analytics API  ===> google analytics
687 ===>  Google Civic Information API  ===> google civic information
688 ===>  Google Classroom API  ===> google classroom
689 ===>  Google Cloud Data Catalog API  ===> google cloud data catalog
690 ===>  Google Cloud Deployment Manager API  ===> google cloud deployment manager
691 ===>  Google Cloud Deployment Manager API V2Beta Methods  ===> google cloud deployment manager api v2beta methods
692 ===>  Google Cloud Deployment Manager Alpha API  ===> google cloud deployment manager alpha
693 ===>  Google Cloud Memorystore for Redis API  ===> google cloud memorystore for redis
694 ===>  Google Cloud Translation API  ===> google cloud translation
695 ===>  Google Docs API  ===> google docs
696 ===>  Google Home  ===> google home
697 ===>  Google Identity Toolkit API  ===> google identity toolkit
698 ===>  Google Mirror  ===> google mirror
699 ===>  Google OAuth2 API  ===> google oauth2
700 ===>  Google Pay Passes API  ===> google pay passes
701 ===>  Google Play Android Developer API  ===> google play android developer
702 ===>  Google Play Custom App Publishing API  ===> google play custom app publishing
703 ===>  Google Play Developer  ===> google play developer
704 ===>  Google Play EMM API  ===> google play emm
705 ===>  Google Play Game Management  ===> google play game management
706 ===>  Google Play Game Services  ===> google play game
707 ===>  Google Play Game Services Publishing API  ===> google play game services publishing
708 ===>  Google Search Console API  ===> google search console
709 ===>  Google Sheets API  ===> google sheets
710 ===>  Google Site Verification API  ===> google site verification
711 ===>  Google Slides API  ===> google slides
712 ===>  Google+ API  ===> google+
713 ===>  GraphHopper Directions API  ===> graphhopper directions
714 ===>  GraphRbacManagementClient  ===> graphrbacmanagementclient
715 ===>  Greenwire Public API  ===> greenwire public
716 ===>  Groundwater Wells, Aquifers and Registry API  ===> groundwater wells, aquifers and registry
717 ===>  Groups Migration API  ===> groups migration
718 ===>  Groups Settings API  ===> groups settings
719 ===>  Guest Diagnostic Settings  ===> guest diagnostic settings
720 ===>  Guest Diagnostic Settings Association  ===> guest diagnostic settings association
721 ===>  GuestConfiguration  ===> guestconfiguration
722 ===>  HDInsightJobManagementClient  ===> hdinsightjobmanagementclient
723 ===>  HDInsightManagementClient  ===> hdinsightmanagementclient
724 ===>  HERE Tracking  ===> here tracking
725 ===>  HHS Media Services  ===> hhs media
726 ===>  HackathonWatch  ===> hackathonwatch
727 ===>  HanaManagementClient  ===> hanamanagementclient
728 ===>  Handwrytten API  ===> handwrytten
729 ===>  Hangouts Chat API  ===> hangouts chat
730 ===>  Healthcare  ===> healthcare
731 ===>  HealthcareApisClient  ===> healthcareapisclient
732 ===>  High Performance Building Database  ===> high performance building database
733 ===>  Highways England API  ===> highways england
734 ===>  HomeGraph API  ===> homegraph
735 ===>  HybridComputeManagementClient  ===> hybridcomputemanagementclient
736 ===>  HybridDataManagementClient  ===> hybriddatamanagementclient
737 ===>  Hydra Movies  ===> hydra movies
738 ===>  HyperDrive  ===> hyperdrive
739 ===>  IAM Service Account Credentials API  ===> iam service account credentials
740 ===>  IBM Containers  ===> ibm containers
741 ===>  ID4i API  ===> id4i
742 ===>  IP2Location IP Geolocation  ===> ip2location ip geolocation
743 ===>  IP2Proxy Proxy Detection  ===> ip2proxy proxy detection
744 ===>  IP2WHOIS Domain Lookup  ===> ip2whois domain lookup
745 ===>  ISBNdb API  ===> isbndb
746 ===>  IdealSpot GeoData  ===> idealspot geodata
747 ===>  Identity API  ===> identity
748 ===>  Identity and Access Management (IAM) API  ===> identity and access management (iam)
749 ===>  IllumiDesk  ===> illumidesk
750 ===>  Image Moderation  ===> image moderation
751 ===>  Image Search Client  ===> image search client
752 ===>  Image-Charts  ===> image-charts
753 ===>  Incidents  ===> incidents
754 ===>  Indexing API  ===> indexing
755 ===>  Infermedica API  ===> infermedica
756 ===>  InfrastructureInsightsManagementClient  ===> infrastructureinsightsmanagementclient
757 ===>  Ink Recognizer Client  ===> ink recognizer client
758 ===>  Instagram API  ===> instagram
759 ===>  InstanceMetadataClient  ===> instancemetadataclient
760 ===>  Interzoid City Data Standardization API  ===> interzoid city data standardization
761 ===>  Interzoid Convert Currency Rate API  ===> interzoid convert currency rate
762 ===>  Interzoid Country Data Standardization API  ===> interzoid country data standardization
763 ===>  Interzoid Get Address Match Similarity Key API  ===> interzoid get address match similarity key
764 ===>  Interzoid Get Area Code API  ===> interzoid get area code
765 ===>  Interzoid Get Area Code From Number API  ===> interzoid get area code from number
766 ===>  Interzoid Get City Match Similarity Key API  ===> interzoid get city match similarity key
767 ===>  Interzoid Get Company Name Match Similarity Key API  ===> interzoid get company name match similarity key
768 ===>  Interzoid Get Country Match Similarity Key API  ===> interzoid get country match similarity key
769 ===>  Interzoid Get Currency Rate API  ===> interzoid get currency rate
770 ===>  Interzoid Get Email Information API  ===> interzoid get email information
771 ===>  Interzoid Get Full Name Match Similarity Key API  ===> interzoid get full name match similarity key
772 ===>  Interzoid Get Full Name Parsed Match Similarity Key API  ===> interzoid get full name parsed match similarity key
773 ===>  Interzoid Get Global Phone Number Information API  ===> interzoid get global phone number information
774 ===>  Interzoid Get Global Time API  ===> interzoid get global time
775 ===>  Interzoid Get Weather By Zip Code API  ===> interzoid get weather by zip code
776 ===>  Interzoid Get Weather City API  ===> interzoid get weather city
777 ===>  Interzoid Global Page Load Performance API  ===> interzoid global page load performance
778 ===>  Interzoid State Data Standardization API  ===> interzoid state data standardization
779 ===>  Interzoid Zip Code Detailed Info API  ===> interzoid zip code detailed info
780 ===>  IntuneResourceManagementClient  ===> intuneresourcemanagementclient
781 ===>  Inventory  ===> inventory
782 ===>  IoE² IoT API - to create end-user applications  ===> ioe² iot
783 ===>  IoTSpacesClient  ===> iotspacesclient
784 ===>  IotCentralClient  ===> iotcentralclient
785 ===>  Item API  ===> item
786 ===>  Item Feed Service  ===> item feed
787 ===>  JIRA 7.6.1  ===> jira 7.6.1
788 ===>  JSON storage  ===> json storage
789 ===>  Jirafe Events  ===> jirafe events
790 ===>  Jokes One API  ===> jokes one
791 ===>  Just Eat UK  ===> just eat uk
792 ===>  KeyServ  ===> keyserv
793 ===>  KeyVaultClient  ===> keyvaultclient
794 ===>  KeyVaultManagementClient  ===> keyvaultmanagementclient
795 ===>  Knowledge Graph Search API  ===> knowledge graph search
796 ===>  Kubernetes  ===> kubernetes
797 ===>  Kubernetes Engine API  ===> kubernetes engine
798 ===>  KustoManagementClient  ===> kustomanagementclient
799 ===>  LH Partner API  ===> lh partner
800 ===>  LH Public API  ===> lh public
801 ===>  LUIS Runtime Client  ===> luis runtime client
802 ===>  Labs64 NetLicensing RESTful API Test Center  ===> labs64 netlicensing restful api test center
803 ===>  LambdaTest Screenshots API Documentation  ===> lambdatest screenshots api documentation
804 ===>  Language Identification (Prediction)  ===> language identification (prediction)
805 ===>  LanguageTool API  ===> languagetool
806 ===>  LaunchDarkly REST API  ===> launchdarkly
807 ===>  Learnifier  ===> learnifier
808 ===>  LetMC Api V2, Basic (Tier 2)  ===> letmc api v2, basic (tier 2)
809 ===>  LetMC Api V2, Customer Login  ===> letmc api v2, customer login
810 ===>  LetMC Api V2, Free (Tier 1)  ===> letmc api v2, free (tier 1)
811 ===>  LetMC Api V3, reporting  ===> letmc api v3, reporting
812 ===>  Library Agent API  ===> library agent
813 ===>  Licensing API  ===> licensing
814 ===>  Linode  ===> linode
815 ===>  Listen API: Podcast Search & Directory API  ===> listen api: podcast search & directory
816 ===>  Listing API  ===> listing
817 ===>  LoL v3 Projections  ===> lol v3 projections
818 ===>  LoL v3 Scores  ===> lol v3 scores
819 ===>  LoL v3 Stats  ===> lol v3 stats
820 ===>  Local Search Client  ===> local search client
821 ===>  Local Services API  ===> local
822 ===>  Locations  ===> locations
823 ===>  Locations API  ===> locations
824 ===>  LogicAppsManagementClient  ===> logicappsmanagementclient
825 ===>  LogicManagementClient  ===> logicmanagementclient
826 ===>  Logistics API  ===> logistics
827 ===>  LotaData  ===> lotadata
828 ===>  Lumminary API  ===> lumminary
829 ===>  Lyft  ===> lyft
830 ===>  MATCH API  ===> match
831 ===>  MDES Customer Service  ===> mdes customer
832 ===>  ML Team Account Management Client  ===> ml team account management client
833 ===>  MLB v3 Play-by-Play  ===> mlb v3 play-by-play
834 ===>  MLB v3 Projections  ===> mlb v3 projections
835 ===>  MLB v3 RotoBaller Articles  ===> mlb v3 rotoballer articles
836 ===>  MLB v3 RotoBaller Premium News  ===> mlb v3 rotoballer premium news
837 ===>  MLB v3 Scores  ===> mlb v3 scores
838 ===>  MLB v3 Stats  ===> mlb v3 stats
839 ===>  Machine Learning Compute Management Client  ===> machine learning compute management client
840 ===>  Machine Learning Workspaces Management Client  ===> machine learning workspaces management client
841 ===>  Magento Enterprise  ===> magento enterprise
842 ===>  MailboxValidator Disposable Email Checker  ===> mailboxvalidator disposable email checker
843 ===>  MailboxValidator Email Validation  ===> mailboxvalidator email validation
844 ===>  MailboxValidator Free Email Checker  ===> mailboxvalidator free email checker
845 ===>  Mailsquad  ===> mailsquad
846 ===>  MaintenanceManagementClient  ===> maintenancemanagementclient
847 ===>  Managed Service for Microsoft Active Directory API  ===> managed service for microsoft active directory
848 ===>  Managed Streaming for Kafka  ===> managed streaming for kafka
849 ===>  ManagedApplicationClient  ===> managedapplicationclient
850 ===>  ManagedLabsClient  ===> managedlabsclient
851 ===>  ManagedNetworkManagementClient  ===> managednetworkmanagementclient
852 ===>  ManagedServiceIdentityClient  ===> managedserviceidentityclient
853 ===>  ManagedServicesClient  ===> managedservicesclient
854 ===>  Management Groups  ===> management groups
855 ===>  ManagementLinkClient  ===> managementlinkclient
856 ===>  ManagementLockClient  ===> managementlockclient
857 ===>  Mandrill  ===> mandrill
858 ===>  Manufacturer Center API  ===> manufacturer center
859 ===>  Maps  ===> maps
860 ===>  MariaDBManagementClient  ===> mariadbmanagementclient
861 ===>  Marketcheck APIs  ===> marketcheck
862 ===>  Marketing API  ===> marketing
863 ===>  Marketplace RP Service  ===> marketplace rp
864 ===>  MarketplaceOrdering.Agreements  ===> marketplaceordering.agreements
865 ===>  MasterCard ABU API  ===> mastercard abu
866 ===>  MasterCard Bin Table Listing  ===> mastercard bin table listing
867 ===>  MediaServicesManagementClient  ===> mediaservicesmanagementclient
868 ===>  Medium.com - Unofficial API Spec  ===> medium.com
869 ===>  Merchant Identifier API V2  ===> merchant identifier api v2
870 ===>  MetaPub  ===> metapub
871 ===>  Metadata  ===> metadata
872 ===>  Metadata API  ===> metadata
873 ===>  Miataru  ===> miataru
874 ===>  Microsoft Insights  ===> microsoft insights
875 ===>  Microsoft NetApp  ===> microsoft netapp
876 ===>  Microsoft Storage Sync  ===> microsoft storage sync
877 ===>  Microsoft.ResourceHealth  ===> microsoft.resourcehealth
878 ===>  Microsoft.Support  ===> microsoft.support
879 ===>  MicrosoftSerialConsoleClient  ===> microsoftserialconsoleclient
880 ===>  Mixed Reality  ===> mixed reality
881 ===>  Mobility API  ===> mobility
882 ===>  Mon-voyage-pas-cher.com Public API  ===> mon-voyage-pas-cher.com public
883 ===>  MonitorClient  ===> monitorclient
884 ===>  MonitorManagementClient  ===> monitormanagementclient
885 ===>  Moon by Ai Weiwei & Olafur Eliasson  ===> moon by ai weiwei & olafur eliasson
886 ===>  Most Popular API  ===> most popular
887 ===>  MotaWord API  ===> motaword
888 ===>  Movie Reviews API  ===> movie reviews
889 ===>  Musixmatch API  ===> musixmatch
890 ===>  MySQLManagementClient  ===> mysqlmanagementclient
891 ===>  NASCAR v2  ===> nascar v2
892 ===>  NBA Stats  ===> nba stats
893 ===>  NBA v3 Play-by-Play  ===> nba v3 play-by-play
894 ===>  NBA v3 Projections  ===> nba v3 projections
895 ===>  NBA v3 RotoBaller Articles  ===> nba v3 rotoballer articles
896 ===>  NBA v3 RotoBaller Premium News  ===> nba v3 rotoballer premium news
897 ===>  NBA v3 Scores  ===> nba v3 scores
898 ===>  NBA v3 Stats  ===> nba v3 stats
899 ===>  NFL v3 Play-by-Play  ===> nfl v3 play-by-play
900 ===>  NFL v3 Projections  ===> nfl v3 projections
901 ===>  NFL v3 RotoBaller Articles  ===> nfl v3 rotoballer articles
902 ===>  NFL v3 RotoBaller Premium News  ===> nfl v3 rotoballer premium news
903 ===>  NFL v3 Scores  ===> nfl v3 scores
904 ===>  NFL v3 Stats  ===> nfl v3 stats
905 ===>  NHL v3 Play-by-Play  ===> nhl v3 play-by-play
906 ===>  NHL v3 Projections  ===> nhl v3 projections
907 ===>  NHL v3 Scores  ===> nhl v3 scores
908 ===>  NHL v3 Stats  ===> nhl v3 stats
909 ===>  NPR Authorization Service  ===> npr authorization
910 ===>  NPR Identity Service  ===> npr identity
911 ===>  NPR Listening Service  ===> npr listening
912 ===>  NPR Sponsorship Service  ===> npr sponsorship
913 ===>  NPR Station Finder Service  ===> npr station finder
914 ===>  NSIDC Web Service Documentation Index  ===> nsidc web service documentation index
915 ===>  NamSor API v2  ===> namsor api v2
916 ===>  Native Ads Publisher API  ===> native ads publisher
917 ===>  NaviPlan API  ===> naviplan
918 ===>  Neblio REST API Suite  ===> neblio rest api suite
919 ===>  Negotiation API  ===> negotiation
920 ===>  NeoWs - (Near Earth Object Web Service)  ===> neows
921 ===>  Netatmo  ===> netatmo
922 ===>  Netlify's API documentation  ===> netlify's api documentation
923 ===>  Network Management API  ===> network management
924 ===>  NetworkAdminManagementClient  ===> networkadminmanagementclient
925 ===>  NetworkExperiments  ===> networkexperiments
926 ===>  NetworkManagementClient  ===> networkmanagementclient
927 ===>  NetworkResourceProviderClient  ===> networkresourceproviderclient
928 ===>  Neutrino API  ===> neutrino
929 ===>  News Search Client  ===> news search client
930 ===>  Noosh API application  ===> noosh api application
931 ===>  NotificationHubsManagementClient  ===> notificationhubsmanagementclient
932 ===>  Numbers API  ===> numbers
933 ===>  Numbers API  ===> numbers
934 ===>  ODN  ===> odn
935 ===>  ODWeather  ===> odweather
936 ===>  OData Service for namespace microsoft.graph  ===> odata service for namespace microsoft.graph
937 ===>  OMDb  ===> omdb
938 ===>  OOXML Automation  ===> ooxml automation
939 ===>  OSDB REST API v1  ===> osdb rest api v1
940 ===>  OSF APIv2 Documentation  ===> osf apiv2 documentation
941 ===>  Open Banking - Payments initiation service  ===> open banking
942 ===>  Open Data API  ===> open data
943 ===>  Open Skills API  ===> open skills
944 ===>  Open Targets Platform  ===> open targets platform
945 ===>  OpenALPR CarCheck API  ===> openalpr carcheck
946 ===>  OpenAPI space  ===> openapi space
947 ===>  OpenCage Geocoder  ===> opencage geocoder
948 ===>  OpenChannel Market API  ===> openchannel market
949 ===>  OpenFEC  ===> openfec
950 ===>  OpenFIGI API  ===> openfigi
951 ===>  OpenFinTech.io  ===> openfintech.io
952 ===>  OpenTrials API  ===> opentrials
953 ===>  OpenUV - Global Real-Time UV Index Forecast API  ===> openuv
954 ===>  Orders API  ===> orders
955 ===>  OrgHunter  ===> orghunter
956 ===>  Otoroshi Admin  ===> otoroshi admin
957 ===>  Owler  ===> owler
958 ===>  Oxford Dictionaries  ===> oxford dictionaries
959 ===>  PAC Control  ===> pac control
960 ===>  PDF Generator API  ===> pdf generator
961 ===>  PI Web API 2018 SP1 Swagger Spec  ===> pi web api 2018 sp1 swagger spec
962 ===>  PTV Timetable API - Version 3  ===> ptv timetable
963 ===>  PageSpeed Insights  ===> pagespeed insights
964 ===>  PageSpeed Insights API  ===> pagespeed insights
965 ===>  Pandorabots AIaaS  ===> pandorabots aiaas
966 ===>  PasswordUtility.Web  ===> passwordutility.web
967 ===>  PatientView  ===> patientview
968 ===>  PayRun.IO  ===> payrun.io
969 ===>  Paylocity API  ===> paylocity
970 ===>  Payment Account Reference Inquiry API  ===> payment account reference inquiry
971 ===>  PdfBroker.io API  ===> pdfbroker.io
972 ===>  Peel Tune-in API  ===> peel tune-in
973 ===>  PeerTube  ===> peertube
974 ===>  PeeringManagementClient  ===> peeringmanagementclient
975 ===>  Pendo Feedback API  ===> pendo feedback
976 ===>  People API  ===> people
977 ===>  Personalized Offers  ===> personalized offers
978 ===>  Personalizer Client  ===> personalizer client
979 ===>  Personnel Data  ===> personnel data
980 ===>  Perspective Comment Analyzer API  ===> perspective comment analyzer
981 ===>  PhantAuth  ===> phantauth
982 ===>  Pims  ===> pims
983 ===>  Playable Locations API  ===> playable locations
984 ===>  Poemist API  ===> poemist
985 ===>  Policy Troubleshooter API  ===> policy troubleshooter
986 ===>  PolicyClient  ===> policyclient
987 ===>  PolicyEventsClient  ===> policyeventsclient
988 ===>  PolicyMetadataClient  ===> policymetadataclient
989 ===>  PolicyStatesClient  ===> policystatesclient
990 ===>  PolicyTrackedResourcesClient  ===> policytrackedresourcesclient
991 ===>  Polling Places API  ===> polling places
992 ===>  Poly API  ===> poly
993 ===>  Polygon  ===> polygon
994 ===>  Positioning API  ===> positioning
995 ===>  PostgreSQLManagementClient  ===> postgresqlmanagementclient
996 ===>  Postmark API  ===> postmark
997 ===>  Postmark Account-level API  ===> postmark account-level
998 ===>  Power BI Embedded Management Client  ===> power bi embedded management client
999 ===>  PowerBIDedicated  ===> powerbidedicated
1000 ===>  PredictionEndpoint  ===> predictionendpoint
1001 ===>  Price API  ===> price
1002 ===>  PrivateDnsManagementClient  ===> privatednsmanagementclient
1003 ===>  Probely Developers  ===> probely developers
1004 ===>  Product Finder API  ===> product finder
1005 ===>  Profile  ===> profile
1006 ===>  Progress to Rate Limit API  ===> progress to rate limit
1007 ===>  Provider API Client  ===> provider api client
1008 ===>  Proximity Beacon API  ===> proximity beacon
1009 ===>  Psycholinguistic Text Analytics  ===> psycholinguistic text analytics
1010 ===>  Qakka  ===> qakka
1011 ===>  QnAMaker Client  ===> qnamaker client
1012 ===>  QnAMaker Runtime Client  ===> qnamaker runtime client
1013 ===>  Qualpay Payment Gateway  ===> qualpay payment gateway
1014 ===>  Quicksold  ===> quicksold
1015 ===>  RAWG Video Games Database API  ===> rawg video games database
1016 ===>  Radio & Music Services  ===> radio & music
1017 ===>  Rail Station Information  ===> rail station information
1018 ===>  Random Lottery Number generator API  ===> random lottery number generator
1019 ===>  Randommer API  ===> randommer
